category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Cereals and bakery products,Bakery products,1967-11-01,7362.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1978-12-01,7724.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1978-11-01,7588.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1978-09-01,7455.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1966-07-01,7404.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1966-04-01,7389.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1966-03-01,7348.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1977-11-01,7318.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1977-12-01,7179.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1977-10-01,7123.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1965-12-01,7228.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1965-10-01,7209.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1965-11-01,7075.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1976-12-01,6739.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1976-10-01,6678.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1976-11-01,6632.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1964-12-01,6752.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1964-08-01,6614.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1964-07-01,6593.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1963-08-01,6342.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1963-11-01,6312.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1963-07-01,6304.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1975-08-01,6372.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1975-11-01,6360.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,1975-07-01,6356.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1962-09-01,6263.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1962-10-01,6184.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1962-11-01,6175.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1960-04-01,6274.0,2024-08-13 09:31:54
