category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
"Milk, dairy products, and eggs",Processed dairy products,1963-08-01,3080,2024/08/13 09:31:54,36195
"Milk, dairy products, and eggs",Processed dairy products,1960-04-01,3073,2024/08/13 09:31:54,35989
"Milk, dairy products, and eggs",Processed dairy products,1960-01-01,3052,2024/08/13 09:31:54,35989
"Milk, dairy products, and eggs",Processed dairy products,1960-03-01,3051,2024/08/13 09:31:54,35989
Meats and poultry,Pork,1964-12-01,3056,2024/08/13 09:31:54,35580
Meats and poultry,Pork,1964-08-01,3006,2024/08/13 09:31:54,35580
Meats and poultry,Pork,1964-07-01,2999,2024/08/13 09:31:54,35580
Processed fruits and vegetables,Processed fruits and vegetables,1963-08-01,3015,2024/08/13 09:31:54,35556
Processed fruits and vegetables,Processed fruits and vegetables,1963-11-01,3011,2024/08/13 09:31:54,35556
Processed fruits and vegetables,Processed fruits and vegetables,1963-12-01,2995,2024/08/13 09:31:54,35556
"Milk, dairy products, and eggs",Eggs,1992-12-01,3056,2024/08/13 09:31:54,35532
"Milk, dairy products, and eggs",Eggs,1992-11-01,3030,2024/08/13 09:31:54,35532
"Milk, dairy products, and eggs",Eggs,1992-10-01,3020,2024/08/13 09:31:54,35532
"Milk, dairy products, and eggs",Processed dairy products,1962-02-01,3013,2024/08/13 09:31:54,35450
"Milk, dairy products, and eggs",Processed dairy products,1962-01-01,3003,2024/08/13 09:31:54,35450
"Milk, dairy products, and eggs",Processed dairy products,1962-03-01,2996,2024/08/13 09:31:54,35450
"Milk, dairy products, and eggs",Eggs,1991-05-01,2994,2024/08/13 09:31:54,35315
"Milk, dairy products, and eggs",Eggs,1991-06-01,2975,2024/08/13 09:31:54,35315
"Milk, dairy products, and eggs",Eggs,1991-07-01,2966,2024/08/13 09:31:54,35315
Processed fruits and vegetables,Processed fruits and vegetables,2021-01-01,34900,2024/08/13 09:31:54,34900
Fish and seafood,Fish and seafood,1977-11-01,3055,2024/08/13 09:31:54,34620
Fish and seafood,Fish and seafood,1977-12-01,2999,2024/08/13 09:31:54,34620
Fish and seafood,Fish and seafood,1977-10-01,2969,2024/08/13 09:31:54,34620
Processed fruits and vegetables,Processed fruits and vegetables,1962-09-01,2955,2024/08/13 09:31:54,34597
Processed fruits and vegetables,Processed fruits and vegetables,1962-10-01,2922,2024/08/13 09:31:54,34597
Processed fruits and vegetables,Processed fruits and vegetables,1962-11-01,2922,2024/08/13 09:31:54,34597
Alcoholic beverages,Spirits,1964-12-01,2967,2024/08/13 09:31:54,34427
Alcoholic beverages,Spirits,1964-11-01,2904,2024/08/13 09:31:54,34427
Alcoholic beverages,Spirits,1964-01-01,2894,2024/08/13 09:31:54,34427
Meats and poultry,Poultry,1969-12-01,3174,2024/08/13 09:31:54,34380
Meats and poultry,Poultry,1969-11-01,3092,2024/08/13 09:31:54,34380
Meats and poultry,Poultry,1969-10-01,3027,2024/08/13 09:31:54,34380
"Milk, dairy products, and eggs",Eggs,1990-09-01,2920,2024/08/13 09:31:54,34378
"Milk, dairy products, and eggs",Eggs,1990-11-01,2907,2024/08/13 09:31:54,34378
"Milk, dairy products, and eggs",Eggs,1990-06-01,2888,2024/08/13 09:31:54,34378
"Milk, dairy products, and eggs",Eggs,1984-06-01,2922,2024/08/13 09:31:54,34032
"Milk, dairy products, and eggs",Eggs,1984-05-01,2898,2024/08/13 09:31:54,34032
"Milk, dairy products, and eggs",Eggs,1984-04-01,2893,2024/08/13 09:31:54,34032
Meats and poultry,Pork,1963-08-01,2886,2024/08/13 09:31:54,33960
Meats and poultry,Pork,1963-11-01,2877,2024/08/13 09:31:54,33960
Meats and poultry,Pork,1963-07-01,2865,2024/08/13 09:31:54,33960
Alcoholic beverages,Wine,1978-12-01,3179,2024/08/13 09:31:54,33876
Alcoholic beverages,Wine,1978-11-01,3147,2024/08/13 09:31:54,33876
Alcoholic beverages,Wine,1978-10-01,3050,2024/08/13 09:31:54,33876
"Milk, dairy products, and eggs",Eggs,1981-08-01,2848,2024/08/13 09:31:54,33720
"Milk, dairy products, and eggs",Eggs,1981-07-01,2836,2024/08/13 09:31:54,33720
"Milk, dairy products, and eggs",Eggs,1981-10-01,2836,2024/08/13 09:31:54,33720
"Milk, dairy products, and eggs",Eggs,1979-11-01,2901,2024/08/13 09:31:54,33612
"Milk, dairy products, and eggs",Eggs,1979-06-01,2898,2024/08/13 09:31:54,33612
"Milk, dairy products, and eggs",Eggs,1979-09-01,2886,2024/08/13 09:31:54,33612
Processed fruits and vegetables,Processed fruits and vegetables,1961-12-01,2829,2024/08/13 09:31:54,33607
Processed fruits and vegetables,Processed fruits and vegetables,1961-09-01,2816,2024/08/13 09:31:54,33607
Processed fruits and vegetables,Processed fruits and vegetables,1961-04-01,2811,2024/08/13 09:31:54,33607
Cereals and bakery products,Cereals,1970-12-01,3082,2024/08/13 09:31:54,33517
Cereals and bakery products,Cereals,1970-11-01,2973,2024/08/13 09:31:54,33517
Cereals and bakery products,Cereals,1970-10-01,2902,2024/08/13 09:31:54,33517
Fresh fruits and vegetables,Fruit (fresh),1969-01-01,2969,2024/08/13 09:31:54,33504
Fresh fruits and vegetables,Fruit (fresh),1969-02-01,2911,2024/08/13 09:31:54,33504
Fresh fruits and vegetables,Fruit (fresh),1969-12-01,2836,2024/08/13 09:31:54,33504
Alcoholic beverages,Spirits,1963-12-01,2948,2024/08/13 09:31:54,33440
Alcoholic beverages,Spirits,1963-11-01,2925,2024/08/13 09:31:54,33440
Alcoholic beverages,Spirits,1963-10-01,2916,2024/08/13 09:31:54,33440
Meats and poultry,Other meats,1965-12-01,2972,2024/08/13 09:31:54,33336
Meats and poultry,Other meats,1965-10-01,2945,2024/08/13 09:31:54,33336
Meats and poultry,Other meats,1965-11-01,2900,2024/08/13 09:31:54,33336
"Milk, dairy products, and eggs",Eggs,1982-02-01,2808,2024/08/13 09:31:54,33061
"Milk, dairy products, and eggs",Eggs,1982-01-01,2801,2024/08/13 09:31:54,33061
"Milk, dairy products, and eggs",Eggs,1982-04-01,2782,2024/08/13 09:31:54,33061
"Milk, dairy products, and eggs",Eggs,1980-01-01,2851,2024/08/13 09:31:54,32904
"Milk, dairy products, and eggs",Eggs,1980-02-01,2821,2024/08/13 09:31:54,32904
"Milk, dairy products, and eggs",Eggs,1980-03-01,2804,2024/08/13 09:31:54,32904
Meats and poultry,Poultry,1966-07-01,2807,2024/08/13 09:31:54,32856
Meats and poultry,Poultry,1966-09-01,2794,2024/08/13 09:31:54,32856
Meats and poultry,Poultry,1966-08-01,2781,2024/08/13 09:31:54,32856
Fresh fruits and vegetables,Fruit (fresh),1967-12-01,2920,2024/08/13 09:31:54,32772
Fresh fruits and vegetables,Fruit (fresh),1967-11-01,2842,2024/08/13 09:31:54,32772
Fresh fruits and vegetables,Fruit (fresh),1967-10-01,2812,2024/08/13 09:31:54,32772
Meats and poultry,Poultry,1968-11-01,2823,2024/08/13 09:31:54,32760
Meats and poultry,Poultry,1968-12-01,2782,2024/08/13 09:31:54,32760
Meats and poultry,Poultry,1968-08-01,2781,2024/08/13 09:31:54,32760
Meats and poultry,Pork,1962-09-01,2784,2024/08/13 09:31:54,32508
Meats and poultry,Pork,1962-11-01,2763,2024/08/13 09:31:54,32508
Meats and poultry,Pork,1962-10-01,2759,2024/08/13 09:31:54,32508
Processed fruits and vegetables,Processed fruits and vegetables,1960-11-01,2812,2024/08/13 09:31:54,32372
Processed fruits and vegetables,Processed fruits and vegetables,1960-12-01,2760,2024/08/13 09:31:54,32372
Processed fruits and vegetables,Processed fruits and vegetables,1960-10-01,2749,2024/08/13 09:31:54,32372
"Milk, dairy products, and eggs",Eggs,1989-12-01,2784,2024/08/13 09:31:54,32272
"Milk, dairy products, and eggs",Eggs,1989-11-01,2747,2024/08/13 09:31:54,32272
"Milk, dairy products, and eggs",Eggs,1989-09-01,2729,2024/08/13 09:31:54,32272
"Milk, dairy products, and eggs",Eggs,1983-11-01,2709,2024/08/13 09:31:54,32184
"Milk, dairy products, and eggs",Eggs,1983-12-01,2706,2024/08/13 09:31:54,32184
"Milk, dairy products, and eggs",Eggs,1983-07-01,2697,2024/08/13 09:31:54,32184
Meats and poultry,Poultry,1967-01-01,2744,2024/08/13 09:31:54,31800
Meats and poultry,Poultry,1967-02-01,2717,2024/08/13 09:31:54,31800
Meats and poultry,Poultry,1967-03-01,2701,2024/08/13 09:31:54,31800
Fats and oils,Fats and oils,1970-12-01,2948,2024/08/13 09:31:54,31533
Fats and oils,Fats and oils,1970-11-01,2816,2024/08/13 09:31:54,31533
Fats and oils,Fats and oils,1970-10-01,2727,2024/08/13 09:31:54,31533
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1976-12-01,2830,2024/08/13 09:31:54,31472
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1976-11-01,2758,2024/08/13 09:31:54,31472
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1976-10-01,2750,2024/08/13 09:31:54,31472
Meats and poultry,Pork,1961-12-01,2642,2024/08/13 09:31:54,31164
Meats and poultry,Pork,1961-09-01,2619,2024/08/13 09:31:54,31164
Meats and poultry,Pork,1961-10-01,2607,2024/08/13 09:31:54,31164
Meats and poultry,Other meats,1964-12-01,2679,2024/08/13 09:31:54,31020
Meats and poultry,Other meats,1964-08-01,2610,2024/08/13 09:31:54,31020
Meats and poultry,Other meats,1964-07-01,2602,2024/08/13 09:31:54,31020
Meats and poultry,Pork,1959-12-01,2606,2024/08/13 09:31:54,30972
Meats and poultry,Pork,1959-01-01,2598,2024/08/13 09:31:54,30972
Meats and poultry,Pork,1959-06-01,2598,2024/08/13 09:31:54,30972
Meats and poultry,Pork,1960-04-01,2611,2024/08/13 09:31:54,30720
Meats and poultry,Pork,1960-11-01,2593,2024/08/13 09:31:54,30720
Meats and poultry,Pork,1960-03-01,2581,2024/08/13 09:31:54,30720
"Milk, dairy products, and eggs",Eggs,1986-10-01,2600,2024/08/13 09:31:54,30496
"Milk, dairy products, and eggs",Eggs,1986-09-01,2591,2024/08/13 09:31:54,30496
"Milk, dairy products, and eggs",Eggs,1986-07-01,2589,2024/08/13 09:31:54,30496
Fats and oils,Fats and oils,1969-12-01,2560,2024/08/13 09:31:54,30323
Fats and oils,Fats and oils,1969-10-01,2557,2024/08/13 09:31:54,30323
Fats and oils,Fats and oils,1969-11-01,2553,2024/08/13 09:31:54,30323
Fresh fruits and vegetables,Fruit (fresh),1966-12-01,2564,2024/08/13 09:31:54,30300
Fresh fruits and vegetables,Fruit (fresh),1966-11-01,2557,2024/08/13 09:31:54,30300
Fresh fruits and vegetables,Fruit (fresh),1966-07-01,2532,2024/08/13 09:31:54,30300
"Milk, dairy products, and eggs",Eggs,1988-11-01,2608,2024/08/13 09:31:54,30285
"Milk, dairy products, and eggs",Eggs,1988-12-01,2596,2024/08/13 09:31:54,30285
"Milk, dairy products, and eggs",Eggs,1988-10-01,2590,2024/08/13 09:31:54,30285
"Milk, dairy products, and eggs",Eggs,1977-11-01,2590,2024/08/13 09:31:54,29904
"Milk, dairy products, and eggs",Eggs,1977-12-01,2540,2024/08/13 09:31:54,29904
"Milk, dairy products, and eggs",Eggs,1977-10-01,2522,2024/08/13 09:31:54,29904
Fish and seafood,Fish and seafood,1976-12-01,2703,2024/08/13 09:31:54,29856
Fish and seafood,Fish and seafood,1976-11-01,2642,2024/08/13 09:31:54,29856
Fish and seafood,Fish and seafood,1976-10-01,2638,2024/08/13 09:31:54,29856
Meats and poultry,Other meats,1963-08-01,2551,2024/08/13 09:31:54,29808
Meats and poultry,Other meats,1963-11-01,2546,2024/08/13 09:31:54,29808
Meats and poultry,Other meats,1963-07-01,2528,2024/08/13 09:31:54,29808
Processed fruits and vegetables,Processed fruits and vegetables,1959-12-01,2589,2024/08/13 09:31:54,29788
Processed fruits and vegetables,Processed fruits and vegetables,1959-10-01,2530,2024/08/13 09:31:54,29788
Processed fruits and vegetables,Processed fruits and vegetables,1959-11-01,2522,2024/08/13 09:31:54,29788
Cereals and bakery products,Cereals,1969-12-01,2604,2024/08/13 09:31:54,29748
Cereals and bakery products,Cereals,1969-11-01,2577,2024/08/13 09:31:54,29748
Cereals and bakery products,Cereals,1969-10-01,2562,2024/08/13 09:31:54,29748
Fats and oils,Fats and oils,1968-11-01,2557,2024/08/13 09:31:54,29745
Fats and oils,Fats and oils,1968-08-01,2532,2024/08/13 09:31:54,29745
Fats and oils,Fats and oils,1968-07-01,2517,2024/08/13 09:31:54,29745
Fish and seafood,Fish and seafood,1973-07-01,2560,2024/08/13 09:31:54,29508
Fish and seafood,Fish and seafood,1973-08-01,2492,2024/08/13 09:31:54,29508
Fish and seafood,Fish and seafood,1973-09-01,2486,2024/08/13 09:31:54,29508
"Milk, dairy products, and eggs",Eggs,1978-12-01,2544,2024/08/13 09:31:54,29411
"Milk, dairy products, and eggs",Eggs,1978-11-01,2497,2024/08/13 09:31:54,29411
"Milk, dairy products, and eggs",Eggs,1978-09-01,2460,2024/08/13 09:31:54,29411
Fish and seafood,Fish and seafood,1970-09-01,2479,2024/08/13 09:31:54,29342
Fish and seafood,Fish and seafood,1970-06-01,2475,2024/08/13 09:31:54,29342
Fish and seafood,Fish and seafood,1970-05-01,2463,2024/08/13 09:31:54,29342
Fresh fruits and vegetables,Fruit (fresh),1965-10-01,2548,2024/08/13 09:31:54,29136
Fresh fruits and vegetables,Fruit (fresh),1965-12-01,2544,2024/08/13 09:31:54,29136
Fresh fruits and vegetables,Fruit (fresh),1965-11-01,2496,2024/08/13 09:31:54,29136
"Milk, dairy products, and eggs",Eggs,1985-01-01,2656,2024/08/13 09:31:54,29033
"Milk, dairy products, and eggs",Eggs,1985-02-01,2590,2024/08/13 09:31:54,29033
"Milk, dairy products, and eggs",Eggs,1985-03-01,2515,2024/08/13 09:31:54,29033
Meats and poultry,Poultry,1965-12-01,2568,2024/08/13 09:31:54,28632
Meats and poultry,Poultry,1965-10-01,2522,2024/08/13 09:31:54,28632
Meats and poultry,Poultry,1965-11-01,2493,2024/08/13 09:31:54,28632
"Milk, dairy products, and eggs",Eggs,1987-01-01,2521,2024/08/13 09:31:54,28624
"Milk, dairy products, and eggs",Eggs,1987-02-01,2509,2024/08/13 09:31:54,28624
"Milk, dairy products, and eggs",Eggs,1987-03-01,2468,2024/08/13 09:31:54,28624
"Milk, dairy products, and eggs",Fresh milk,2021-01-01,28316,2024/08/13 09:31:54,28316
Meats and poultry,Other meats,1961-09-01,2373,2024/08/13 09:31:54,28248
Meats and poultry,Other meats,1961-04-01,2370,2024/08/13 09:31:54,28248
Meats and poultry,Other meats,1961-08-01,2368,2024/08/13 09:31:54,28248
Alcoholic beverages,Spirits,1959-06-01,2381,2024/08/13 09:31:54,28104
Alcoholic beverages,Spirits,1959-07-01,2371,2024/08/13 09:31:54,28104
Alcoholic beverages,Spirits,1959-09-01,2365,2024/08/13 09:31:54,28104
Meats and poultry,Other meats,1962-09-01,2372,2024/08/13 09:31:54,28008
Meats and poultry,Other meats,1962-11-01,2359,2024/08/13 09:31:54,28008
Meats and poultry,Other meats,1962-12-01,2359,2024/08/13 09:31:54,28008
Alcoholic beverages,Spirits,1962-12-01,2466,2024/08/13 09:31:54,27952
Alcoholic beverages,Spirits,1962-11-01,2445,2024/08/13 09:31:54,27952
Alcoholic beverages,Spirits,1962-10-01,2391,2024/08/13 09:31:54,27952
Cereals and bakery products,Cereals,1968-11-01,2429,2024/08/13 09:31:54,27936
Cereals and bakery products,Cereals,1968-12-01,2397,2024/08/13 09:31:54,27936
Cereals and bakery products,Cereals,1968-08-01,2380,2024/08/13 09:31:54,27936
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1975-12-01,2451,2024/08/13 09:31:54,27517
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1975-11-01,2436,2024/08/13 09:31:54,27517
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1975-10-01,2404,2024/08/13 09:31:54,27517
Fish and seafood,Fish and seafood,1974-02-01,2430,2024/08/13 09:31:54,27506
Fish and seafood,Fish and seafood,1974-01-01,2426,2024/08/13 09:31:54,27506
Fish and seafood,Fish and seafood,1974-03-01,2392,2024/08/13 09:31:54,27506
Fish and seafood,Fish and seafood,1972-10-01,2357,2024/08/13 09:31:54,27432
Fish and seafood,Fish and seafood,1972-12-01,2352,2024/08/13 09:31:54,27432
Fish and seafood,Fish and seafood,1972-11-01,2351,2024/08/13 09:31:54,27432
"Milk, dairy products, and eggs",Eggs,1976-12-01,2420,2024/08/13 09:31:54,27348
"Milk, dairy products, and eggs",Eggs,1976-10-01,2390,2024/08/13 09:31:54,27348
"Milk, dairy products, and eggs",Eggs,1976-11-01,2380,2024/08/13 09:31:54,27348
Fresh fruits and vegetables,Fruit (fresh),1964-12-01,2355,2024/08/13 09:31:54,27252
Fresh fruits and vegetables,Fruit (fresh),1964-08-01,2297,2024/08/13 09:31:54,27252
Fresh fruits and vegetables,Fruit (fresh),1964-07-01,2290,2024/08/13 09:31:54,27252
Alcoholic beverages,Wine,1977-11-01,2351,2024/08/13 09:31:54,27240
Alcoholic beverages,Wine,1977-12-01,2343,2024/08/13 09:31:54,27240
Alcoholic beverages,Wine,1977-10-01,2301,2024/08/13 09:31:54,27240
Alcoholic beverages,Spirits,1960-07-01,2307,2024/08/13 09:31:54,27193
Alcoholic beverages,Spirits,1960-04-01,2292,2024/08/13 09:31:54,27193
Alcoholic beverages,Spirits,1960-01-01,2289,2024/08/13 09:31:54,27193
Alcoholic beverages,Spirits,1961-12-01,2291,2024/08/13 09:31:54,27103
Alcoholic beverages,Spirits,1961-04-01,2282,2024/08/13 09:31:54,27103
Alcoholic beverages,Spirits,1961-01-01,2272,2024/08/13 09:31:54,27103
Meats and poultry,Poultry,1964-12-01,2361,2024/08/13 09:31:54,27000
Meats and poultry,Poultry,1964-08-01,2302,2024/08/13 09:31:54,27000
Meats and poultry,Poultry,1964-10-01,2300,2024/08/13 09:31:54,27000
Meats and poultry,Other meats,1960-11-01,2326,2024/08/13 09:31:54,26964
Meats and poultry,Other meats,1960-12-01,2287,2024/08/13 09:31:54,26964
Meats and poultry,Other meats,1960-10-01,2273,2024/08/13 09:31:54,26964
Fish and seafood,Fish and seafood,1971-01-01,2373,2024/08/13 09:31:54,26955
Fish and seafood,Fish and seafood,1971-02-01,2345,2024/08/13 09:31:54,26955
Fish and seafood,Fish and seafood,1971-04-01,2307,2024/08/13 09:31:54,26955
Fats and oils,Fats and oils,1967-12-01,2391,2024/08/13 09:31:54,26771
Fats and oils,Fats and oils,1967-11-01,2327,2024/08/13 09:31:54,26771
Fats and oils,Fats and oils,1967-10-01,2300,2024/08/13 09:31:54,26771
Fats and oils,Fats and oils,2021-01-01,26726,2024/08/13 09:31:54,26726
Fresh fruits and vegetables,Fruit (fresh),1961-04-01,2233,2024/08/13 09:31:54,26532
Fresh fruits and vegetables,Fruit (fresh),1961-06-01,2228,2024/08/13 09:31:54,26532
Fresh fruits and vegetables,Fruit (fresh),1961-05-01,2227,2024/08/13 09:31:54,26532
Cereals and bakery products,Cereals,1966-07-01,2229,2024/08/13 09:31:54,26292
Cereals and bakery products,Cereals,1966-09-01,2215,2024/08/13 09:31:54,26292
Cereals and bakery products,Cereals,1966-04-01,2207,2024/08/13 09:31:54,26292
Fresh fruits and vegetables,Fruit (fresh),1963-08-01,2232,2024/08/13 09:31:54,26232
Fresh fruits and vegetables,Fruit (fresh),1963-11-01,2222,2024/08/13 09:31:54,26232
Fresh fruits and vegetables,Fruit (fresh),1963-07-01,2216,2024/08/13 09:31:54,26232
Cereals and bakery products,Cereals,1967-12-01,2228,2024/08/13 09:31:54,26100
Cereals and bakery products,Cereals,1967-01-01,2197,2024/08/13 09:31:54,26100
Cereals and bakery products,Cereals,1967-02-01,2183,2024/08/13 09:31:54,26100
Fish and seafood,Fish and seafood,1969-12-01,2319,2024/08/13 09:31:54,26052
Fish and seafood,Fish and seafood,1969-11-01,2298,2024/08/13 09:31:54,26052
Fish and seafood,Fish and seafood,1969-10-01,2284,2024/08/13 09:31:54,26052
Alcoholic beverages,Wine,1974-09-01,2246,2024/08/13 09:31:54,25992
Alcoholic beverages,Wine,1974-08-01,2245,2024/08/13 09:31:54,25992
Alcoholic beverages,Wine,1974-11-01,2236,2024/08/13 09:31:54,25992
Fresh fruits and vegetables,Fruit (fresh),1959-12-01,2186,2024/08/13 09:31:54,25968
Fresh fruits and vegetables,Fruit (fresh),1959-01-01,2178,2024/08/13 09:31:54,25968
Fresh fruits and vegetables,Fruit (fresh),1959-06-01,2177,2024/08/13 09:31:54,25968
Fish and seafood,Fish and seafood,1975-12-01,2236,2024/08/13 09:31:54,25932
Fish and seafood,Fish and seafood,1975-11-01,2215,2024/08/13 09:31:54,25932
Fish and seafood,Fish and seafood,1975-10-01,2185,2024/08/13 09:31:54,25932
Fresh fruits and vegetables,Fruit (fresh),1960-04-01,2187,2024/08/13 09:31:54,25788
Fresh fruits and vegetables,Fruit (fresh),1960-11-01,2185,2024/08/13 09:31:54,25788
