category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1995-12-01,46012,2024/08/13 09:31:54,546450
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1995-01-01,45874,2024/08/13 09:31:54,546450
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1995-05-01,45647,2024/08/13 09:31:54,546450
"Milk, dairy products, and eggs",Processed dairy products,2014-12-01,46443,2024/08/13 09:31:54,546344
"Milk, dairy products, and eggs",Processed dairy products,2014-11-01,46366,2024/08/13 09:31:54,546344
"Milk, dairy products, and eggs",Processed dairy products,2014-10-01,46223,2024/08/13 09:31:54,546344
Sugar and sweets,Sugar and sweets,2017-12-01,46642,2024/08/13 09:31:54,542904
Sugar and sweets,Sugar and sweets,2017-11-01,46092,2024/08/13 09:31:54,542904
Sugar and sweets,Sugar and sweets,2017-09-01,45834,2024/08/13 09:31:54,542904
Alcoholic beverages,Beer,2003-01-01,45853,2024/08/13 09:31:54,541575
Alcoholic beverages,Beer,2003-02-01,45509,2024/08/13 09:31:54,541575
Alcoholic beverages,Beer,2003-03-01,45348,2024/08/13 09:31:54,541575
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1994-12-01,45585,2024/08/13 09:31:54,541245
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1994-09-01,45562,2024/08/13 09:31:54,541245
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1994-10-01,45526,2024/08/13 09:31:54,541245
Meats and poultry,Beef and veal,2015-02-01,45503,2024/08/13 09:31:54,540982
Meats and poultry,Beef and veal,2015-01-01,45404,2024/08/13 09:31:54,540982
Meats and poultry,Beef and veal,2015-04-01,45229,2024/08/13 09:31:54,540982
Alcoholic beverages,Beer,2002-12-01,46274,2024/08/13 09:31:54,540514
Alcoholic beverages,Beer,2002-11-01,45659,2024/08/13 09:31:54,540514
Alcoholic beverages,Beer,2002-07-01,45427,2024/08/13 09:31:54,540514
Fresh fruits and vegetables,Vegetables (fresh),2016-12-01,45546,2024/08/13 09:31:54,539042
Fresh fruits and vegetables,Vegetables (fresh),2016-10-01,45442,2024/08/13 09:31:54,539042
Fresh fruits and vegetables,Vegetables (fresh),2016-11-01,45384,2024/08/13 09:31:54,539042
Alcoholic beverages,Wine,2018-11-01,45548,2024/08/13 09:31:54,538999
